--- [Run Started at 2018-02-06 10:44:09] --------------------------------

	out_dir = /home/klshang81/driver/results/debug

** dataset **
	(height,width) = (96, 96)
	in_channels    = 3
	train_dataset  = trainall
	train_dataset # of imgs    = 12000
	test_dataset   = valid2400
	test_dataset # of imgs     = 2400
	batch_size           = 72

** net setting **
<class 'model.resnet.ResNet'>


** model training **
 epoch   iter   learning_rate  |  train_loss  |  train_accuracy  |  valid_loss  |  valid_accuracy  | min
--------------------------------------------------------------------------------------------------------
  1.0     167    0.1000   |  2.2978  |  0.1806  |  2.2804  |  0.1035  |  13.5 min 
  2.0     167    0.1000   |  1.6879  |  0.4167  |  2.3507  |  0.1442  |  13.2 min 
  3.0     167    0.1000   |  0.3517  |  0.9722  |  0.5799  |  0.8063  |  13.3 min 
  4.0     167    0.1000   |  0.1439  |  0.9861  |  0.4992  |  0.8646  |  13.3 min 
  5.0     167    0.1000   |  0.1032  |  0.9861  |  0.0986  |  0.9708  |  13.1 min 
  6.0     167    0.1000   |  0.0548  |  1.0000  |  0.1129  |  0.9654  |  13.1 min 
  7.0     167    0.1000   |  0.0762  |  1.0000  |  0.1700  |  0.9408  |  13.1 min 
  8.0     167    0.1000   |  0.0754  |  0.9583  |  0.1905  |  0.9354  |  13.1 min 
  9.0     167    0.1000   |  0.0741  |  0.9861  |  0.2262  |  0.9302  |  13.1 min 
 10.0     167    0.1000   |  0.0517  |  0.9583  |  0.0679  |  0.9794  |  13.1 min 
 11.0     167    0.0100   |  0.0110  |  1.0000  |  0.0035  |  0.9995  |  13.1 min 
 12.0     167    0.0100   |  0.0033  |  1.0000  |  0.0020  |  1.0000  |  13.1 min 
 13.0     167    0.0100   |  0.0032  |  1.0000  |  0.0011  |  1.0000  |  13.1 min 
 14.0     167    0.0100   |  0.0009  |  1.0000  |  0.0009  |  1.0000  |  13.1 min 
 15.0     167    0.0100   |  0.0011  |  1.0000  |  0.0007  |  1.0000  |  13.1 min 
 16.0     167    0.0100   |  0.0011  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 17.0     167    0.0100   |  0.0012  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 18.0     167    0.0100   |  0.0016  |  1.0000  |  0.0007  |  1.0000  |  13.1 min 
 19.0     167    0.0100   |  0.0008  |  1.0000  |  0.0007  |  1.0000  |  13.2 min 
 20.0     167    0.0100   |  0.0009  |  1.0000  |  0.0006  |  1.0000  |  13.2 min 
 21.0     167    0.0100   |  0.0009  |  1.0000  |  0.0006  |  1.0000  |  13.2 min 
 22.0     167    0.0100   |  0.0012  |  1.0000  |  0.0006  |  1.0000  |  13.2 min 
 23.0     167    0.0100   |  0.0011  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 24.0     167    0.0100   |  0.0016  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 25.0     167    0.0100   |  0.0010  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 26.0     167    0.0050   |  0.0011  |  1.0000  |  0.0005  |  1.0000  |  13.1 min 
 27.0     167    0.0050   |  0.0011  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 28.0     167    0.0050   |  0.0013  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 29.0     167    0.0050   |  0.0009  |  1.0000  |  0.0006  |  1.0000  |  13.1 min 
 30.0     167    0.0050   |  0.0013  |  1.0000  |  0.0005  |  1.0000  |  13.1 min 
